route_id,service_id,trip_id
IC5359,254,IC53592541
IC5360,255,IC53602551
IC5361,256,IC53612561
IC5362,257,IC53622571
IC5363,258,IC53632581
IC5364,259,IC53642591
IC5365,260,IC53652601
IC5366,261,IC53662611
IC5367,262,IC53672621
IC5368,263,IC53682631
IC5369,264,IC53692641
IC5370,265,IC53702651
IC5371,266,IC53712661
IC5372,267,IC53722671
IC5378,268,IC53782681
IC5379,269,IC53792691
IC5380,270,IC53802701
IC5381,271,IC53812711
IC5382,272,IC53822721
IC5383,273,IC53832731
IC5384,274,IC53842741
IC5385,275,IC53852751
IC5386,276,IC53862761
IC5387,277,IC53872771
IC5388,278,IC53882781
IC5389,279,IC53892791
IC5390,280,IC53902801
IC5391,281,IC53912811
IC9215,282,IC92152821
IC9216,283,IC92162831
IC9219,284,IC92192841
IC9220,285,IC92202851
IC9223,286,IC92232861
IC9224,287,IC92242871
IC9228,288,IC92282881
IC9231,289,IC92312891
IC9232,290,IC92322901
IC9235,291,IC92352911
IC9236,292,IC92362921
IC9239,293,IC92392931
IC9240,294,IC92402941
IC9243,295,IC92432951
IC9244,296,IC92442961
IC9247,297,IC92472971
IC9248,298,IC92482981
IC9251,299,IC92512991
IC9252,300,IC92523001
IC9255,301,IC92553011
IC9256,302,IC92563021
IC9259,303,IC92593031
IC9263,304,IC92633041
IC9264,305,IC92643051
IC9267,306,IC92673061
IC9268,307,IC92683071
IC19707,310,IC197073101
IC19708,311,IC197083111
IC19710,312,IC197103121
IC19711,313,IC197113131
IC19712,314,IC197123141
IC19714,315,IC197143151
IC19717,316,IC197173161
IC19718,317,IC197183171
IC19720,318,IC197203181
IC19721,319,IC197213191
IC19722,320,IC197223201
IC19723,321,IC197233211
IC19724,322,IC197243221
IC19725,323,IC197253231
IC19726,324,IC197263241
IC19728,325,IC197283251
IC19730,326,IC197303261
IC19732,327,IC197323271
IC19733,328,IC197333281
IC19734,329,IC197343291
IC19735,330,IC197353301
IC19738,331,IC197383311
IC19739,332,IC197393321
IC19743,333,IC197433331
IC19745,334,IC197453341
IC19749,335,IC197493351
IC19913,336,IC199133361
IC19916,337,IC199163371
IC19917,338,IC199173381
IC19920,339,IC199203391
IC19921,340,IC199213401
IC19925,341,IC199253411
IC19926,342,IC199263421
IC19930,343,IC199303431
IC19931,344,IC199313441
IC19936,345,IC199363451
IC19937,346,IC199373461
IC19939,347,IC199393471
IC19942,348,IC199423481
IC19943,349,IC199433491
IC19944,350,IC199443501
IC19949,351,IC199493511
IC19950,352,IC199503521
IC19954,353,IC199543531
IC19957,354,IC199573541
IC19960,355,IC199603551
IC19961,356,IC199613561
IC19964,357,IC199643571
IC19965,358,IC199653581
IC19968,359,IC199683591
IC19969,360,IC199693601
IC19972,361,IC199723611
IC19973,362,IC199733621
ICE10,363,ICE103631
ICE15,364,ICE153641
ICE16,365,ICE163651
L556,366,L5563661
L557,367,L5573671
L559,368,L5593681
L561,369,L5613691
L563,370,L5633701
L565,371,L5653711
L567,372,L5673721
L569,373,L5693731
L571,374,L5713741
L572,375,L5723751
L578,376,L5783761
L580,377,L5803771
L582,378,L5823781
L584,379,L5843791
L586,380,L5863801
L588,381,L5883811
L590,382,L5903821
L591,383,L5913831
L592,384,L5923841
L593,385,L5933851
L1556,387,L15563871
L1557,388,L15573881
L1564,389,L15643891
L1565,390,L15653901
L1566,391,L15663911
L1567,392,L15673921
L1570,393,L15703931
L1571,394,L15713941
L1577,395,L15773951
L1578,396,L15783961
L1579,397,L15793971
L1580,398,L15803981
L1581,399,L15813991
L1582,400,L15824001
L1583,401,L15834011
L1584,402,L15844021
L1585,403,L15854031
L1586,404,L15864041
L1587,405,L15874051
L1588,406,L15884061
L1589,407,L15894071
L1590,408,L15904081
L1591,409,L15914091
L1592,410,L15924101
L1776,412,L17764121
L1956,414,L19564141
L1957,415,L19574151
L1958,416,L19584161
L1959,417,L19594171
L1960,418,L19604181
L1961,419,L19614191
L1962,420,L19624201
L1963,421,L19634211
L1964,422,L19644221
L1965,423,L19654231
L1966,424,L19664241
L1967,425,L19674251
L1968,426,L19684261
L1969,427,L19694271
L1970,428,L19704281
L1971,429,L19714291
L1972,430,L19724301
L1973,431,L19734311
L1976,432,L19764321
L1977,433,L19774331
L1978,434,L19784341
L1979,435,L19794351
L1980,436,L19804361
L1981,437,L19814371
L1982,438,L19824381
L1983,439,L19834391
L1984,440,L19844401
L1985,441,L19854411
L1986,442,L19864421
L1987,443,L19874431
L1988,444,L19884441
L1989,445,L19894451
L1990,446,L19904461
L1991,447,L19914471
L1992,448,L19924481
L1993,449,L19934491
L2294,450,L22944501
L2757,451,L27574511
L2758,452,L27584521
L2759,453,L27594531
L2760,454,L27604541
L2761,455,L27614551
L2762,456,L27624561
L2763,457,L27634571
L2764,458,L27644581
L2765,459,L27654591
L2766,460,L27664601
L2767,461,L27674611
L2768,462,L27684621
L2769,463,L27694631
L2770,464,L27704641
L2771,465,L27714651
L2772,466,L27724661
L3056,468,L30564681
L3058,469,L30584691
L3059,470,L30594701
L3060,471,L30604711
L3061,472,L30614721
L3062,473,L30624731
L3063,474,L30634741
L3064,475,L30644751
L3065,476,L30654761
L3066,477,L30664771
L3067,478,L30674781
L3068,479,L30684791
L3069,480,L30694801
L3070,481,L30704811
L3071,482,L30714821
L3072,483,L30724831
L3077,484,L30774841
L3078,485,L30784851
L3079,486,L30794861
L3080,487,L30804871
L3081,488,L30814881
L3082,489,L30824891
L3083,490,L30834901
L3084,491,L30844911
L3085,492,L30854921
L3086,493,L30864931
L3087,494,L30874941
L3088,495,L30884951
L3089,496,L30894961
L3090,497,L30904971
L3091,498,L30914981
L3157,499,L31574991
L3158,500,L31585001
L3159,501,L31595011
L3160,502,L31605021
L3161,503,L31615031
L3162,504,L31625041
L3163,505,L31635051
L3164,506,L31645061
L3165,507,L31655071
L3166,508,L31665081
L3167,509,L31675091
L3168,510,L31685101
L3169,511,L31695111
L3170,512,L31705121
L3171,513,L31715131
L3172,514,L31725141
L3177,516,L31775161
L3178,517,L31785171
L3179,518,L31795181
L3180,519,L31805191
L3181,520,L31815201
L3182,521,L31825211
L3183,522,L31835221
L3184,523,L31845231
L3185,524,L31855241
L3186,525,L31865251
L3187,526,L31875261
L3188,527,L31885271
L3189,528,L31895281
L3190,529,L31905291
L3191,530,L31915301
L3192,531,L31925311
L3193,532,L31935321
L3755,533,L37555331
L3756,534,L37565341
L3757,535,L37575351
L3758,536,L37585361
L3759,537,L37595371
L3760,538,L37605381
L3761,539,L37615391
L3762,540,L37625401
L3763,541,L37635411
L3764,542,L37645421
L3765,543,L37655431
L3766,544,L37665441
L3767,545,L37675451
L3768,546,L37685461
L3769,547,L37695471
L3770,548,L37705481
L3771,549,L37715491
L3772,550,L37725501
L3777,551,L37775511
L3778,552,L37785521
L3779,553,L37795531
L3780,554,L37805541
